Rate_Type Date Currency_From Currency_From_Value Currency_To Currency_To_Value
Spot_Rate 2022-02-02 EUR 0.8831581736288968 USD 1.1323
Spot_Rate 2022-02-02 USD 1 USD 1.0
Spot_Rate 2022-02-02 JPY 114.25417292237039 USD 0.008752415552291877
Spot_Rate 2022-02-02 BGN 1.7272807559833965 USD 0.5789446773698743
Spot_Rate 2022-02-02 CZK 21.458977302834935 USD 0.04660054325458886
Spot_Rate 2022-02-02 DKK 6.5691954429038235 USD 0.1522256429560518
Spot_Rate 2022-02-02 GBP 0.7365097588978186 USD 1.3577552611067811
Spot_Rate 2022-02-02 HUF 313.0354146427625 USD 0.003194526731555932
Spot_Rate 2022-02-02 PLN 4.013865583325973 USD 0.2491363946401461
Spot_Rate 2022-02-02 RON 4.368365274220612 USD 0.22891858560944547
